Time frequency,Country of citizenship,Age definition,Age class,Unit of measure,Sex,Geopolitical entity (reporting),Time,value
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2007,100716.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2010,89488.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2011,91372.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2012,88504.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2013,85247.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2014,87763.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2015,86536.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2016,82742.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2017,84368.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2018,89919.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2019,96585.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2023,106188.0
Annual,Europe,Age reached during the year,Total,Number,Total,Belgium,2024,100156.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2007,1551.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2012,12882.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2013,14931.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2014,18510.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2015,19342.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2016,18557.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2017,21862.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2018,26824.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2019,35144.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2020,34286.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2022,34994.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2023,47801.0
Annual,Europe,Age reached during the year,Total,Number,Total,Bulgaria,2024,43396.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2002,35156.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2003,51834.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2004,44846.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2005,48719.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2006,52751.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2007,78276.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2008,85570.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2009,59734.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2010,41229.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2011,23088.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2012,27741.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2013,25554.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2014,25992.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2015,24629.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2016,48256.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2017,37210.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2018,48951.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2019,84702.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2020,53438.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2021,57795.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2022,330183.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2023,122851.0
Annual,Europe,Age reached during the year,Total,Number,Total,Czechia,2024,102231.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,1998,38801.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,1999,38119.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2000,38444.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2001,39399.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2002,38826.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2003,37953.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2004,39299.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2005,41878.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2006,46044.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2007,51043.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2008,45832.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2009,40888.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2010,40201.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2011,40915.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2012,42784.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2013,45077.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2014,48451.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2015,49474.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2016,49641.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2017,50430.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2018,49861.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2019,48122.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2020,46893.0
Annual,Europe,Age reached during the year,Total,Number,Total,Denmark,2021,51781.0
Annual,Europe,Age reached during the year,Total,Number,Total,Germany,1998,641825.0
Annual,Europe,Age reached during the year,Total,Number,Total,Germany,1999,700798.0
Annual,Europe,Age reached during the year,Total,Number,Total,Germany,2001,666102.0
Annual,Europe,Age reached during the year,Total,Number,Total,Germany,2002,642635.0
Annual,Europe,Age reached during the year,Total,Number,Total,Germany,2003,590116.0
Annual,Europe,Age reached during the year,Total,Number,Total,Germany,2004,619722.0
Annual,Europe,Age reached during the year,Total,Number,Total,Germany,2005,561966.0
Annual,Europe,Age reached during the year,Total,Number,Total,Germany,2006,520570.0
Annual,Europe,Age reached during the year,Total,Number,Total,Germany,2007,539157.0
Annual,Europe,Age reached during the year,Total,Number,Total,Germany,2008,531050.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2004,1041.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2005,1344.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2006,2103.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2007,3597.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2008,3428.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2009,3556.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2010,2648.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2011,3401.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2012,2353.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2013,3632.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2014,3609.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2015,13960.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2016,13691.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2017,16167.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2018,15872.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2019,15565.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2022,46829.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2023,24002.0
Annual,Europe,Age reached during the year,Total,Number,Total,Estonia,2024,16778.0
Annual,Europe,Age reached during the year,Total,Number,Total,Ireland,2006,122748.0
Annual,Europe,Age reached during the year,Total,Number,Total,Ireland,2007,105015.0
Annual,Europe,Age reached during the year,Total,Number,Total,Ireland,2008,68134.0
Annual,Europe,Age reached during the year,Total,Number,Total,Ireland,2009,42287.0
Annual,Europe,Age reached during the year,Total,Number,Total,Ireland,2010,41712.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,1998,49752.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,1999,68183.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2000,116511.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2001,133827.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2002,198647.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2004,315337.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2005,320054.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2006,369754.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2007,454620.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2008,219094.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2009,166606.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2010,174294.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2011,182288.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2012,148038.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2013,139012.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2014,159582.0
Annual,Europe,Age reached during the year,Total,Number,Total,Spain,2016,192344.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,1998,51781.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,1999,32577.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2001,23954.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2002,20130.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2003,18361.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2004,18299.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2006,14911.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2007,14558.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2008,16247.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2009,12452.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2010,8099.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2011,7870.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2012,8173.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2013,9788.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2014,9940.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2015,10995.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2016,13303.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2017,14802.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2018,24728.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2019,34076.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2020,30680.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2021,30845.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2022,44707.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2023,48906.0
Annual,Europe,Age reached during the year,Total,Number,Total,Croatia,2024,40165.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2008,353990.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2009,258197.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2010,251314.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2011,207753.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2012,179630.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2013,151635.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2014,132416.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2015,127220.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2016,134519.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2017,139045.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2018,142300.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2019,169133.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2020,135170.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2021,163433.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2022,200562.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2023,190273.0
Annual,Europe,Age reached during the year,Total,Number,Total,Italy,2024,169765.0
Annual,Europe,Age reached during the year,Total,Number,Total,Latvia,1998,2795.0
Annual,Europe,Age reached during the year,Total,Number,Total,Latvia,2014,9738.0
Annual,Europe,Age reached during the year,Total,Number,Total,Latvia,2017,8152.0
Annual,Europe,Age reached during the year,Total,Number,Total,Latvia,2018,8203.0
Annual,Europe,Age reached during the year,Total,Number,Total,Latvia,2019,8615.0
Annual,Europe,Age reached during the year,Total,Number,Total,Latvia,2020,7269.0
Annual,Europe,Age reached during the year,Total,Number,Total,Latvia,2021,10794.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,1998,2375.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,1999,2284.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2000,1288.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2001,3663.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2002,4072.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2003,3876.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2004,4983.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2005,6090.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2006,7334.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2007,8170.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2008,8863.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2009,6155.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2010,4999.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2011,15376.0
Annual,Europe,Age reached during the year,Total,Number,Total,Lithuania,2021,41583.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,1998,10501.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,1999,11659.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2000,10692.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2001,10998.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2002,10833.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2003,11666.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2004,10847.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2005,12822.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2006,12900.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2007,999.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2008,15523.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2009,13621.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2010,14559.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2011,17955.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2012,18044.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2013,18071.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2014,19181.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2015,19023.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2016,18808.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2017,19380.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2018,19168.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2019,20065.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2020,17702.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2021,19064.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2022,23005.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2023,18987.0
Annual,Europe,Age reached during the year,Total,Number,Total,Luxembourg,2024,17664.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,1998,13562.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,1999,17960.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2000,18803.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2001,19415.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2002,17520.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2003,17846.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2004,20581.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2005,24939.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2006,19597.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2007,18946.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2008,30087.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2009,21207.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2010,19007.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2011,21816.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2012,26991.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2013,31198.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2014,42822.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2015,47226.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2016,44334.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2017,53813.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2018,67773.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2019,71795.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2020,61677.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2021,64706.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2022,71165.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2023,53884.0
Annual,Europe,Age reached during the year,Total,Number,Total,Hungary,2024,55921.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,1998,72272.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,1999,71452.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2000,75033.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2001,73506.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2002,68130.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2003,63087.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2004,61860.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2005,61816.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2006,70493.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2007,84467.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2008,101706.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2009,84895.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2010,90285.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2011,94194.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2012,93186.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2013,94092.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2014,101752.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2015,105635.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2016,113465.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2017,125670.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2018,136226.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2019,149743.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2020,136635.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2021,145787.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2022,236526.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2023,182927.0
Annual,Europe,Age reached during the year,Total,Number,Total,Netherlands,2024,162163.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,1998,62386.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,1999,73611.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2001,76488.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2002,88960.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2003,92146.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2004,101505.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2005,95599.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2006,82631.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2007,61645.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2008,61970.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2010,59887.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2011,67530.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2012,75221.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2014,93473.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2015,97654.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2016,91868.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2017,90293.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2018,90247.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2019,93839.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2020,88868.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2021,89933.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2022,166215.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2023,110155.0
Annual,Europe,Age reached during the year,Total,Number,Total,Austria,2024,96534.0
Annual,Europe,Age reached during the year,Total,Number,Total,Poland,2006,10433.0
Annual,Europe,Age reached during the year,Total,Number,Total,Poland,2007,14638.0
Annual,Europe,Age reached during the year,Total,Number,Total,Poland,2016,2114.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2008,136091.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2009,133563.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2010,147472.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2011,144799.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2012,162487.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2013,144478.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2014,128769.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2015,127383.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2016,128733.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2017,161187.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2018,156940.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2022,261907.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2023,250473.0
Annual,Europe,Age reached during the year,Total,Number,Total,Romania,2024,239806.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,1998,4387.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,1999,4863.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2000,6009.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2001,7465.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2002,8831.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2003,8879.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2004,9867.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2005,14671.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2006,19661.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2007,28652.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2008,27780.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2009,25861.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2010,12869.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2011,12349.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2012,13141.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2013,13345.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2014,13361.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2015,14817.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2016,15967.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2017,18061.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2018,27598.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2019,30422.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2020,35257.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2021,22891.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2022,34654.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2023,32524.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovenia,2024,30560.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2008,8448.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2009,6094.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2010,4986.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2011,4522.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2012,5153.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2013,4881.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2014,5168.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2015,6732.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2016,7384.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2017,6989.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2018,7063.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2019,6855.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2020,6604.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2021,5626.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2022,5266.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2023,5487.0
Annual,Europe,Age reached during the year,Total,Number,Total,Slovakia,2024,6307.0
Annual,Europe,Age reached during the year,Total,Number,Total,Finland,1998,11403.0
Annual,Europe,Age reached during the year,Total,Number,Total,Finland,1999,12295.0
Annual,Europe,Age reached during the year,Total,Number,Total,Finland,2000,14061.0
Annual,Europe,Age reached during the year,Total,Number,Total,Finland,2001,15131.0
Annual,Europe,Age reached during the year,Total,Number,Total,Finland,2002,14298.0
Annual,Europe,Age reached during the year,Total,Number,Total,Finland,2003,14176.0
Annual,Europe,Age reached during the year,Total,Number,Total,Finland,2004,15790.0
Annual,Europe,Age reached during the year,Total,Number,Total,Finland,2005,16204.0
Annual,Europe,Age reached during the year,Total,Number,Total,Finland,2006,17119.0
Annual,Europe,Age reached during the year,Total,Number,Total,Finland,2007,18981.0
Annual,Europe,Age reached during the year,Total,Number,Total,Finland,2008,20846.0
