Time frequency,Stock or flow,External trade indicator,Geopolitical entity (partner),"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (reporting),Time,value
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2026-04,359902.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2026-05,345273.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Total - all products,European Union - 27 countries (from 2020),2026-06,377187.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-01,33367.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-02,34011.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-03,39602.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-04,33548.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-05,37400.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-06,37734.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-07,34386.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-08,35020.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-09,34848.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-10,37085.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-11,37662.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2023-12,35248.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-01,34627.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-02,35917.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-03,36930.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-04,37875.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-05,37714.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-06,36256.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-07,38438.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-08,35482.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-09,37587.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),"Food, drinks and tobacco",European Union - 27 countries (from 2020),2024-10,40981.2
