Time frequency,Standard international energy product classification (SIEC),Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting),Time,value
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2005,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2006,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2007,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2008,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2009,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2010,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2011,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2012,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2013,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2014,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2015,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2016,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2017,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2018,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2019,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2020,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2021,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2022,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2023,0.0
Annual,Natural gas,Belgium,Million cubic metres,Czechia,2024,0.0
Annual,Natural gas,Belgium,Million cubic metres,Denmark,2000,0.0
Annual,Natural gas,Belgium,Million cubic metres,Denmark,2001,0.0
