Time frequency,Unit of measure,Stock or flow,Products and final uses,"Products, adjustments and value added",Geopolitical entity (reporting),Time,value,country
Annual,Million euro,Total,Final consumption expenditure by government,Public administration and defence services; compulsory social security services,Hungary,2022,15392.72,HU
Annual,Million euro,Total,Exports of goods and services,Basic pharmaceutical products and pharmaceutical preparations,Spain,2021,15392.4,ES
Annual,Million euro,Total,Electrical equipment,Imports of goods and services,Poland,2020,15386.23,PL
Annual,Million euro,Total,Exports of goods and services,Chemicals and chemical products,Austria,2021,15386.05,AT
Annual,Million euro,Total,Exports of goods and services to non-EU countries,"Food, beverages and tobacco products",Germany,2022,15386.0,DE
Annual,Million euro,Total,"Financial services, except insurance and pension funding","Financial services, except insurance and pension funding",Luxembourg,2022,15384.3,LU
Annual,Million euro,Total,Total final use,Services auxiliary to financial services and insurance services,Germany,2022,15382.0,DE
Annual,Million euro,Total,"Electricity, gas, steam and air conditioning",Consumption of fixed capital,Italy,2020,15381.38,IT
Annual,Million euro,Total,Specialised construction works,Specialised construction works,Belgium,2022,15378.68,BE
Annual,Million euro,Total,Basic metals,Total intermediate consumption /final use,Sweden,2022,15374.99,SE
Annual,Million euro,Total,Land transport services and transport services via pipelines,Land transport services and transport services via pipelines,France,2022,15371.81,FR
Annual,Million euro,Total,Machinery and equipment n.e.c.,Imports of goods and services from EU countries,Poland,2020,15370.1,PL
Annual,Million euro,Total,"Wholesale trade services, except of motor vehicles and motorcycles",Legal and accounting services; services of head offices; management consultancy services,France,2020,15366.37,FR
Annual,Million euro,Total,Total final use,"Computer, electronic and optical products",Spain,2020,15363.3,ES
Annual,Million euro,Total,"Textiles, wearing apparel, leather and related products",Imports of goods and services,Poland,2020,15361.76,PL
Annual,Million euro,Total,Warehousing and support services for transportation,Compensation of employees,Italy,2020,15359.05,IT
Annual,Million euro,Total,Final consumption expenditure by households,Total intermediate consumption /final use,Cyprus,2021,15356.45,CY
Annual,Million euro,Total,Paper and paper products,Output,Sweden,2022,15354.58,SE
Annual,Million euro,Total,Exports of goods and services to euro area countries,Basic pharmaceutical products and pharmaceutical preparations,Belgium,2020,15354.44,BE
Annual,Million euro,Total,Gross fixed capital formation,Scientific research and development services,Sweden,2022,15350.53,SE
Annual,Million euro,Total,"Motor vehicles, trailers and semi-trailers",Basic metals,Germany,2020,15350.0,DE
Annual,Million euro,Total,"Other professional, scientific and technical services and veterinary services",Total intermediate consumption /final use,Germany,2021,15350.0,DE
Annual,Million euro,Total,"Creative, arts, entertainment, library, archive, museum, other cultural services; gambling and betting services","Value added, gross",Germany,2021,15348.0,DE
Annual,Million euro,Total,"Food, beverages and tobacco products",Imports of goods and services from non-EU countries,Spain,2022,15345.0,ES
Annual,Million euro,Total,Rental and leasing services,"Value added, gross",Italy,2020,15339.11,IT
Annual,Million euro,Total,Final consumption expenditure by government,Real estate services excluding imputed rents,France,2020,15334.4,FR
Annual,Million euro,Total,Total final use,Basic metals,Austria,2021,15333.69,AT
Annual,Million euro,Total,Total final use,Warehousing and support services for transportation,Spain,2021,15333.1,ES
Annual,Million euro,Total,Real estate services excluding imputed rents,Wages and salaries,Germany,2020,15332.0,DE
Annual,Million euro,Total,Telecommunications services,"Value added, gross",Italy,2021,15331.64,IT
Annual,Million euro,Total,Real estate services excluding imputed rents,Total intermediate consumption /final use,Austria,2022,15330.74,AT
Annual,Million euro,Total,Human health services,Wages and salaries,Sweden,2022,15323.15,SE
