Time frequency,Unit of measure,Stock or flow,Products and final uses,"Products, adjustments and value added",Geopolitical entity (reporting),Time,value,country
Annual,Million euro,Total,Total,Total,Austria,2020,350673.96,AT
Annual,Million euro,Total,Total,Total,Austria,2021,403139.35,AT
Annual,Million euro,Total,Total,Total,Austria,2022,500777.3,AT
Annual,Million euro,Total,Total,"Products of agriculture, hunting and related services",Austria,2020,6288.85,AT
Annual,Million euro,Total,Total,"Products of agriculture, hunting and related services",Austria,2021,7001.68,AT
Annual,Million euro,Total,Total,"Products of agriculture, hunting and related services",Austria,2022,8944.59,AT
Annual,Million euro,Total,Total,"Products of forestry, logging and related services",Austria,2020,1896.44,AT
Annual,Million euro,Total,Total,"Products of forestry, logging and related services",Austria,2021,2948.97,AT
Annual,Million euro,Total,Total,"Products of forestry, logging and related services",Austria,2022,3547.2,AT
Annual,Million euro,Total,Total,Fish and other fishing products; aquaculture products; support services to fishing,Austria,2020,71.68,AT
Annual,Million euro,Total,Total,Fish and other fishing products; aquaculture products; support services to fishing,Austria,2021,71.48,AT
Annual,Million euro,Total,Total,Fish and other fishing products; aquaculture products; support services to fishing,Austria,2022,103.51,AT
Annual,Million euro,Total,Total,Mining and quarrying,Austria,2020,6141.02,AT
Annual,Million euro,Total,Total,Mining and quarrying,Austria,2021,10339.21,AT
Annual,Million euro,Total,Total,Mining and quarrying,Austria,2022,14526.36,AT
Annual,Million euro,Total,Total,"Food, beverages and tobacco products",Austria,2020,8605.73,AT
Annual,Million euro,Total,Total,"Food, beverages and tobacco products",Austria,2021,9600.61,AT
Annual,Million euro,Total,Total,"Food, beverages and tobacco products",Austria,2022,12967.07,AT
Annual,Million euro,Total,Total,"Textiles, wearing apparel, leather and related products",Austria,2020,1947.31,AT
Annual,Million euro,Total,Total,"Textiles, wearing apparel, leather and related products",Austria,2021,2188.68,AT
Annual,Million euro,Total,Total,"Textiles, wearing apparel, leather and related products",Austria,2022,2487.87,AT
Annual,Million euro,Total,Total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Austria,2020,4696.97,AT
Annual,Million euro,Total,Total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Austria,2021,6041.07,AT
Annual,Million euro,Total,Total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Austria,2022,7062.99,AT
Annual,Million euro,Total,Total,Paper and paper products,Austria,2020,3825.25,AT
Annual,Million euro,Total,Total,Paper and paper products,Austria,2021,4027.28,AT
Annual,Million euro,Total,Total,Paper and paper products,Austria,2022,5087.4,AT
Annual,Million euro,Total,Total,Printing and recording services,Austria,2020,1326.65,AT
Annual,Million euro,Total,Total,Printing and recording services,Austria,2021,1333.36,AT
Annual,Million euro,Total,Total,Printing and recording services,Austria,2022,1539.53,AT
Annual,Million euro,Total,Total,Coke and refined petroleum products,Austria,2020,3269.23,AT
Annual,Million euro,Total,Total,Coke and refined petroleum products,Austria,2021,4208.4,AT
Annual,Million euro,Total,Total,Coke and refined petroleum products,Austria,2022,9225.17,AT
Annual,Million euro,Total,Total,Chemicals and chemical products,Austria,2020,12221.99,AT
Annual,Million euro,Total,Total,Chemicals and chemical products,Austria,2021,16235.32,AT
Annual,Million euro,Total,Total,Chemicals and chemical products,Austria,2022,20615.81,AT
Annual,Million euro,Total,Total,Basic pharmaceutical products and pharmaceutical preparations,Austria,2020,2037.66,AT
Annual,Million euro,Total,Total,Basic pharmaceutical products and pharmaceutical preparations,Austria,2021,2996.29,AT
Annual,Million euro,Total,Total,Basic pharmaceutical products and pharmaceutical preparations,Austria,2022,2839.07,AT
Annual,Million euro,Total,Total,Rubber and plastic products,Austria,2020,5499.35,AT
Annual,Million euro,Total,Total,Rubber and plastic products,Austria,2021,6524.66,AT
Annual,Million euro,Total,Total,Rubber and plastic products,Austria,2022,7103.31,AT
Annual,Million euro,Total,Total,Other non-metallic mineral products,Austria,2020,5356.39,AT
Annual,Million euro,Total,Total,Other non-metallic mineral products,Austria,2021,6157.57,AT
Annual,Million euro,Total,Total,Other non-metallic mineral products,Austria,2022,6814.28,AT
Annual,Million euro,Total,Total,Basic metals,Austria,2020,12741.35,AT
Annual,Million euro,Total,Total,Basic metals,Austria,2021,18091.79,AT
Annual,Million euro,Total,Total,Basic metals,Austria,2022,23137.62,AT
Annual,Million euro,Total,Total,"Fabricated metal products, except machinery and equipment",Austria,2020,11538.43,AT
Annual,Million euro,Total,Total,"Fabricated metal products, except machinery and equipment",Austria,2021,13673.2,AT
Annual,Million euro,Total,Total,"Fabricated metal products, except machinery and equipment",Austria,2022,16191.13,AT
Annual,Million euro,Total,Total,"Computer, electronic and optical products",Austria,2020,5470.63,AT
Annual,Million euro,Total,Total,"Computer, electronic and optical products",Austria,2021,5932.53,AT
Annual,Million euro,Total,Total,"Computer, electronic and optical products",Austria,2022,7350.79,AT
Annual,Million euro,Total,Total,Electrical equipment,Austria,2020,6794.69,AT
Annual,Million euro,Total,Total,Electrical equipment,Austria,2021,8337.69,AT
Annual,Million euro,Total,Total,Electrical equipment,Austria,2022,9210.12,AT
Annual,Million euro,Total,Total,Machinery and equipment n.e.c.,Austria,2020,9667.47,AT
Annual,Million euro,Total,Total,Machinery and equipment n.e.c.,Austria,2021,10932.36,AT
Annual,Million euro,Total,Total,Machinery and equipment n.e.c.,Austria,2022,13190.76,AT
Annual,Million euro,Total,Total,"Motor vehicles, trailers and semi-trailers",Austria,2020,6607.11,AT
Annual,Million euro,Total,Total,"Motor vehicles, trailers and semi-trailers",Austria,2021,7638.97,AT
Annual,Million euro,Total,Total,"Motor vehicles, trailers and semi-trailers",Austria,2022,7781.46,AT
Annual,Million euro,Total,Total,Other transport equipment,Austria,2020,1377.28,AT
Annual,Million euro,Total,Total,Other transport equipment,Austria,2021,1821.28,AT
Annual,Million euro,Total,Total,Other transport equipment,Austria,2022,2033.15,AT
Annual,Million euro,Total,Total,Furniture and other manufactured goods,Austria,2020,1939.96,AT
Annual,Million euro,Total,Total,Furniture and other manufactured goods,Austria,2021,2103.06,AT
Annual,Million euro,Total,Total,Furniture and other manufactured goods,Austria,2022,2206.98,AT
Annual,Million euro,Total,Total,Repair and installation services of machinery and equipment,Austria,2020,6120.42,AT
Annual,Million euro,Total,Total,Repair and installation services of machinery and equipment,Austria,2021,6513.36,AT
Annual,Million euro,Total,Total,Repair and installation services of machinery and equipment,Austria,2022,7275.18,AT
Annual,Million euro,Total,Total,"Electricity, gas, steam and air conditioning",Austria,2020,26534.7,AT
Annual,Million euro,Total,Total,"Electricity, gas, steam and air conditioning",Austria,2021,29276.13,AT
Annual,Million euro,Total,Total,"Electricity, gas, steam and air conditioning",Austria,2022,62125.53,AT
Annual,Million euro,Total,Total,Natural water; water treatment and supply services,Austria,2020,1099.5,AT
Annual,Million euro,Total,Total,Natural water; water treatment and supply services,Austria,2021,1133.88,AT
Annual,Million euro,Total,Total,Natural water; water treatment and supply services,Austria,2022,1164.48,AT
Annual,Million euro,Total,Total,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Austria,2020,8022.05,AT
Annual,Million euro,Total,Total,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Austria,2021,9345.82,AT
Annual,Million euro,Total,Total,"Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services",Austria,2022,10194.18,AT
Annual,Million euro,Total,Total,Constructions and construction works,Austria,2020,27479.47,AT
Annual,Million euro,Total,Total,Constructions and construction works,Austria,2021,29739.02,AT
Annual,Million euro,Total,Total,Constructions and construction works,Austria,2022,33920.64,AT
Annual,Million euro,Total,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Austria,2020,2945.79,AT
Annual,Million euro,Total,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Austria,2021,3089.12,AT
Annual,Million euro,Total,Total,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Austria,2022,3449.18,AT
Annual,Million euro,Total,Total,"Wholesale trade services, except of motor vehicles and motorcycles",Austria,2020,15079.14,AT
Annual,Million euro,Total,Total,"Wholesale trade services, except of motor vehicles and motorcycles",Austria,2021,16247.31,AT
Annual,Million euro,Total,Total,"Wholesale trade services, except of motor vehicles and motorcycles",Austria,2022,17553.53,AT
Annual,Million euro,Total,Total,"Retail trade services, except of motor vehicles and motorcycles",Austria,2020,806.17,AT
Annual,Million euro,Total,Total,"Retail trade services, except of motor vehicles and motorcycles",Austria,2021,757.64,AT
Annual,Million euro,Total,Total,"Retail trade services, except of motor vehicles and motorcycles",Austria,2022,1011.13,AT
Annual,Million euro,Total,Total,Land transport services and transport services via pipelines,Austria,2020,8732.49,AT
Annual,Million euro,Total,Total,Land transport services and transport services via pipelines,Austria,2021,9917.43,AT
Annual,Million euro,Total,Total,Land transport services and transport services via pipelines,Austria,2022,11417.09,AT
Annual,Million euro,Total,Total,Water transport services,Austria,2020,1007.81,AT
Annual,Million euro,Total,Total,Water transport services,Austria,2021,1315.33,AT
Annual,Million euro,Total,Total,Water transport services,Austria,2022,1748.74,AT
Annual,Million euro,Total,Total,Air transport services,Austria,2020,529.77,AT
Annual,Million euro,Total,Total,Air transport services,Austria,2021,782.09,AT
Annual,Million euro,Total,Total,Air transport services,Austria,2022,1624.34,AT
Annual,Million euro,Total,Total,Warehousing and support services for transportation,Austria,2020,7030.56,AT
Annual,Million euro,Total,Total,Warehousing and support services for transportation,Austria,2021,7340.58,AT
Annual,Million euro,Total,Total,Warehousing and support services for transportation,Austria,2022,8669.79,AT
Annual,Million euro,Total,Total,Postal and courier services,Austria,2020,2522.05,AT
Annual,Million euro,Total,Total,Postal and courier services,Austria,2021,3090.99,AT
Annual,Million euro,Total,Total,Postal and courier services,Austria,2022,3097.39,AT
Annual,Million euro,Total,Total,Accommodation and food services,Austria,2020,2351.01,AT
Annual,Million euro,Total,Total,Accommodation and food services,Austria,2021,1666.6,AT
Annual,Million euro,Total,Total,Accommodation and food services,Austria,2022,3134.9,AT
Annual,Million euro,Total,Total,Publishing services,Austria,2020,1747.38,AT
Annual,Million euro,Total,Total,Publishing services,Austria,2021,1872.61,AT
Annual,Million euro,Total,Total,Publishing services,Austria,2022,1985.04,AT
Annual,Million euro,Total,Total,"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services",Austria,2020,1894.21,AT
Annual,Million euro,Total,Total,"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services",Austria,2021,2231.97,AT
Annual,Million euro,Total,Total,"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services",Austria,2022,2309.74,AT
Annual,Million euro,Total,Total,Telecommunications services,Austria,2020,3857.05,AT
Annual,Million euro,Total,Total,Telecommunications services,Austria,2021,3878.01,AT
Annual,Million euro,Total,Total,Telecommunications services,Austria,2022,4022.8,AT
Annual,Million euro,Total,Total,"Computer programming, consultancy and related services; Information services",Austria,2020,11545.51,AT
Annual,Million euro,Total,Total,"Computer programming, consultancy and related services; Information services",Austria,2021,13252.32,AT
Annual,Million euro,Total,Total,"Computer programming, consultancy and related services; Information services",Austria,2022,14104.16,AT
Annual,Million euro,Total,Total,"Financial services, except insurance and pension funding",Austria,2020,13024.18,AT
Annual,Million euro,Total,Total,"Financial services, except insurance and pension funding",Austria,2021,13918.33,AT
Annual,Million euro,Total,Total,"Financial services, except insurance and pension funding",Austria,2022,14666.23,AT
Annual,Million euro,Total,Total,"Insurance, reinsurance and pension funding services, except compulsory social security",Austria,2020,2205.93,AT
Annual,Million euro,Total,Total,"Insurance, reinsurance and pension funding services, except compulsory social security",Austria,2021,2611.48,AT
Annual,Million euro,Total,Total,"Insurance, reinsurance and pension funding services, except compulsory social security",Austria,2022,2721.31,AT
Annual,Million euro,Total,Total,Services auxiliary to financial services and insurance services,Austria,2020,3564.16,AT
Annual,Million euro,Total,Total,Services auxiliary to financial services and insurance services,Austria,2021,4092.99,AT
Annual,Million euro,Total,Total,Services auxiliary to financial services and insurance services,Austria,2022,4532.91,AT
Annual,Million euro,Total,Total,Imputed rents of owner-occupied dwellings,Austria,2020,0.0,AT
Annual,Million euro,Total,Total,Imputed rents of owner-occupied dwellings,Austria,2021,0.0,AT
Annual,Million euro,Total,Total,Imputed rents of owner-occupied dwellings,Austria,2022,0.0,AT
Annual,Million euro,Total,Total,Real estate services excluding imputed rents,Austria,2020,19301.12,AT
Annual,Million euro,Total,Total,Real estate services excluding imputed rents,Austria,2021,21195.69,AT
Annual,Million euro,Total,Total,Real estate services excluding imputed rents,Austria,2022,22451.71,AT
Annual,Million euro,Total,Total,Legal and accounting services; services of head offices; management consultancy services,Austria,2020,19373.56,AT
Annual,Million euro,Total,Total,Legal and accounting services; services of head offices; management consultancy services,Austria,2021,20202.52,AT
Annual,Million euro,Total,Total,Legal and accounting services; services of head offices; management consultancy services,Austria,2022,23186.36,AT
Annual,Million euro,Total,Total,Architectural and engineering services; technical testing and analysis services,Austria,2020,7582.83,AT
Annual,Million euro,Total,Total,Architectural and engineering services; technical testing and analysis services,Austria,2021,7041.71,AT
Annual,Million euro,Total,Total,Architectural and engineering services; technical testing and analysis services,Austria,2022,8339.3,AT
Annual,Million euro,Total,Total,Scientific research and development services,Austria,2020,427.7,AT
Annual,Million euro,Total,Total,Scientific research and development services,Austria,2021,899.52,AT
Annual,Million euro,Total,Total,Scientific research and development services,Austria,2022,916.31,AT
Annual,Million euro,Total,Total,Advertising and market research services,Austria,2020,7583.58,AT
Annual,Million euro,Total,Total,Advertising and market research services,Austria,2021,8350.11,AT
Annual,Million euro,Total,Total,Advertising and market research services,Austria,2022,10013.41,AT
Annual,Million euro,Total,Total,"Other professional, scientific and technical services and veterinary services",Austria,2020,1786.49,AT
Annual,Million euro,Total,Total,"Other professional, scientific and technical services and veterinary services",Austria,2021,1859.5,AT
Annual,Million euro,Total,Total,"Other professional, scientific and technical services and veterinary services",Austria,2022,2158.78,AT
Annual,Million euro,Total,Total,Rental and leasing services,Austria,2020,8035.02,AT
Annual,Million euro,Total,Total,Rental and leasing services,Austria,2021,9080.42,AT
Annual,Million euro,Total,Total,Rental and leasing services,Austria,2022,10970.9,AT
Annual,Million euro,Total,Total,Employment services,Austria,2020,6080.35,AT
Annual,Million euro,Total,Total,Employment services,Austria,2021,6177.51,AT
Annual,Million euro,Total,Total,Employment services,Austria,2022,7164.82,AT
Annual,Million euro,Total,Total,"Travel agency, tour operator and other reservation services and related services",Austria,2020,240.22,AT
Annual,Million euro,Total,Total,"Travel agency, tour operator and other reservation services and related services",Austria,2021,270.75,AT
Annual,Million euro,Total,Total,"Travel agency, tour operator and other reservation services and related services",Austria,2022,479.68,AT
Annual,Million euro,Total,Total,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Austria,2020,7701.86,AT
Annual,Million euro,Total,Total,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Austria,2021,9230.3,AT
Annual,Million euro,Total,Total,"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services",Austria,2022,10939.0,AT
Annual,Million euro,Total,Total,Public administration and defence services; compulsory social security services,Austria,2020,1159.18,AT
Annual,Million euro,Total,Total,Public administration and defence services; compulsory social security services,Austria,2021,1266.61,AT
Annual,Million euro,Total,Total,Public administration and defence services; compulsory social security services,Austria,2022,1291.5,AT
Annual,Million euro,Total,Total,Education services,Austria,2020,721.16,AT
Annual,Million euro,Total,Total,Education services,Austria,2021,1184.9,AT
Annual,Million euro,Total,Total,Education services,Austria,2022,1413.85,AT
Annual,Million euro,Total,Total,Human health services,Austria,2020,1128.91,AT
Annual,Million euro,Total,Total,Human health services,Austria,2021,2995.37,AT
Annual,Million euro,Total,Total,Human health services,Austria,2022,2772.81,AT
Annual,Million euro,Total,Total,Residential care services; social work services without accommodation,Austria,2020,37.38,AT
Annual,Million euro,Total,Total,Residential care services; social work services without accommodation,Austria,2021,658.33,AT
Annual,Million euro,Total,Total,Residential care services; social work services without accommodation,Austria,2022,809.91,AT
Annual,Million euro,Total,Total,"Creative, arts, entertainment, library, archive, museum, other cultural services; gambling and betting services",Austria,2020,398.92,AT
Annual,Million euro,Total,Total,"Creative, arts, entertainment, library, archive, museum, other cultural services; gambling and betting services",Austria,2021,557.61,AT
Annual,Million euro,Total,Total,"Creative, arts, entertainment, library, archive, museum, other cultural services; gambling and betting services",Austria,2022,896.38,AT
Annual,Million euro,Total,Total,Sporting services and amusement and recreation services,Austria,2020,168.1,AT
Annual,Million euro,Total,Total,Sporting services and amusement and recreation services,Austria,2021,426.37,AT
Annual,Million euro,Total,Total,Sporting services and amusement and recreation services,Austria,2022,606.39,AT
Annual,Million euro,Total,Total,Services furnished by membership organisations,Austria,2020,301.19,AT
Annual,Million euro,Total,Total,Services furnished by membership organisations,Austria,2021,403.19,AT
Annual,Million euro,Total,Total,Services furnished by membership organisations,Austria,2022,564.43,AT
Annual,Million euro,Total,Total,Repair services of computers and personal and household goods,Austria,2020,814.25,AT
Annual,Million euro,Total,Total,Repair services of computers and personal and household goods,Austria,2021,632.45,AT
Annual,Million euro,Total,Total,Repair services of computers and personal and household goods,Austria,2022,488.4,AT
Annual,Million euro,Total,Total,Other personal services,Austria,2020,411.36,AT
Annual,Million euro,Total,Total,Other personal services,Austria,2021,428.03,AT
Annual,Million euro,Total,Total,Other personal services,Austria,2022,618.92,AT
Annual,Million euro,Total,Total,Services of households as employers; undifferentiated goods and services produced by households for own use,Austria,2020,0.0,AT
Annual,Million euro,Total,Total,Services of households as employers; undifferentiated goods and services produced by households for own use,Austria,2021,0.0,AT
Annual,Million euro,Total,Total,Services of households as employers; undifferentiated goods and services produced by households for own use,Austria,2022,0.0,AT
Annual,Million euro,Total,Total,Services provided by extraterritorial organisations and bodies,Austria,2020,0.0,AT
Annual,Million euro,Total,Total,Services provided by extraterritorial organisations and bodies,Austria,2021,0.0,AT
Annual,Million euro,Total,Total,Services provided by extraterritorial organisations and bodies,Austria,2022,0.0,AT
Annual,Million euro,Total,Total,"Value added, gross",Austria,2020,341771.08,AT
Annual,Million euro,Total,Total,"Value added, gross",Austria,2021,362536.79,AT
Annual,Million euro,Total,Total,"Value added, gross",Austria,2022,402769.58,AT
Annual,Million euro,Total,Total,"Operating surplus and mixed income, net",Austria,2020,80080.96,AT
Annual,Million euro,Total,Total,"Operating surplus and mixed income, net",Austria,2021,82853.18,AT
Annual,Million euro,Total,Total,"Operating surplus and mixed income, net",Austria,2022,90395.6,AT
Annual,Million euro,Total,Total,"Operating surplus and mixed income, gross",Austria,2020,155844.98,AT
Annual,Million euro,Total,Total,"Operating surplus and mixed income, gross",Austria,2021,166606.45,AT
Annual,Million euro,Total,Total,"Operating surplus and mixed income, gross",Austria,2022,182267.28,AT
Annual,Million euro,Total,Total,Compensation of employees,Austria,2020,192334.74,AT
Annual,Million euro,Total,Total,Compensation of employees,Austria,2021,201416.38,AT
Annual,Million euro,Total,Total,Compensation of employees,Austria,2022,217423.98,AT
Annual,Million euro,Total,Total,Wages and salaries,Austria,2020,158681.57,AT
Annual,Million euro,Total,Total,Wages and salaries,Austria,2021,166302.01,AT
Annual,Million euro,Total,Total,Wages and salaries,Austria,2022,179804.68,AT
Annual,Million euro,Total,Total,Taxes less subsidies on products,Austria,2020,8876.27,AT
Annual,Million euro,Total,Total,Taxes less subsidies on products,Austria,2021,10241.88,AT
Annual,Million euro,Total,Total,Taxes less subsidies on products,Austria,2022,9234.71,AT
Annual,Million euro,Total,Total,Other taxes less other subsidies on production,Austria,2020,-6408.65,AT
Annual,Million euro,Total,Total,Other taxes less other subsidies on production,Austria,2021,-5486.03,AT
Annual,Million euro,Total,Total,Other taxes less other subsidies on production,Austria,2022,3078.33,AT
Annual,Million euro,Total,Total,Output,Austria,2020,701321.31,AT
Annual,Million euro,Total,Total,Output,Austria,2021,775918.02,AT
Annual,Million euro,Total,Total,Output,Austria,2022,912781.59,AT
Annual,Million euro,Total,Total,Total intermediate consumption /final use,Austria,2020,359550.23,AT
Annual,Million euro,Total,Total,Total intermediate consumption /final use,Austria,2021,413381.23,AT
Annual,Million euro,Total,Total,Total intermediate consumption /final use,Austria,2022,510012.01,AT
Annual,Million euro,Total,Total,Imports of goods and services,Austria,2020,179855.06,AT
Annual,Million euro,Total,Total,Imports of goods and services,Austria,2021,218209.85,AT
Annual,Million euro,Total,Total,Imports of goods and services,Austria,2022,269146.92,AT
Annual,Million euro,Total,Total,Imports of goods and services from EU countries,Austria,2020,128358.56,AT
Annual,Million euro,Total,Total,Imports of goods and services from EU countries,Austria,2021,152057.63,AT
Annual,Million euro,Total,Total,Imports of goods and services from EU countries,Austria,2022,181287.61,AT
Annual,Million euro,Total,Total,Imports of goods and services from non-EU countries,Austria,2020,51496.5,AT
Annual,Million euro,Total,Total,Imports of goods and services from non-EU countries,Austria,2021,66152.22,AT
Annual,Million euro,Total,Total,Imports of goods and services from non-EU countries,Austria,2022,87859.31,AT
Annual,Million euro,Total,Total,Imports of goods and services from euro area countries,Austria,2020,102291.21,AT
Annual,Million euro,Total,Total,Imports of goods and services from euro area countries,Austria,2021,120150.79,AT
Annual,Million euro,Total,Total,Imports of goods and services from euro area countries,Austria,2022,142113.66,AT
Annual,Million euro,Total,Total,Imports of goods and services from EU countries outside the euro area,Austria,2020,26067.36,AT
Annual,Million euro,Total,Total,Imports of goods and services from EU countries outside the euro area,Austria,2021,31906.84,AT
Annual,Million euro,Total,Total,Imports of goods and services from EU countries outside the euro area,Austria,2022,39173.95,AT
Annual,Million euro,Total,Total,Consumption of fixed capital,Austria,2020,75764.02,AT
Annual,Million euro,Total,Total,Consumption of fixed capital,Austria,2021,83753.26,AT
Annual,Million euro,Total,Total,Consumption of fixed capital,Austria,2022,91871.68,AT
Annual,Million euro,Total,Total,Total supply at basic prices,Austria,2020,881176.37,AT
Annual,Million euro,Total,Total,Total supply at basic prices,Austria,2021,994127.88,AT
Annual,Million euro,Total,Total,Total supply at basic prices,Austria,2022,1181928.51,AT
Annual,Million euro,Total,"Products of agriculture, hunting and related services",Total,Austria,2020,3957.29,AT
Annual,Million euro,Total,"Products of agriculture, hunting and related services",Total,Austria,2021,4357.19,AT
Annual,Million euro,Total,"Products of agriculture, hunting and related services",Total,Austria,2022,5468.74,AT
Annual,Million euro,Total,"Products of forestry, logging and related services",Total,Austria,2020,925.03,AT
Annual,Million euro,Total,"Products of forestry, logging and related services",Total,Austria,2021,1347.98,AT
Annual,Million euro,Total,"Products of forestry, logging and related services",Total,Austria,2022,1613.01,AT
Annual,Million euro,Total,Fish and other fishing products; aquaculture products; support services to fishing,Total,Austria,2020,71.33,AT
Annual,Million euro,Total,Fish and other fishing products; aquaculture products; support services to fishing,Total,Austria,2021,63.17,AT
Annual,Million euro,Total,Fish and other fishing products; aquaculture products; support services to fishing,Total,Austria,2022,70.83,AT
Annual,Million euro,Total,Mining and quarrying,Total,Austria,2020,924.37,AT
Annual,Million euro,Total,Mining and quarrying,Total,Austria,2021,1004.44,AT
Annual,Million euro,Total,Mining and quarrying,Total,Austria,2022,1141.1,AT
Annual,Million euro,Total,"Food, beverages and tobacco products",Total,Austria,2020,17428.42,AT
Annual,Million euro,Total,"Food, beverages and tobacco products",Total,Austria,2021,19212.34,AT
Annual,Million euro,Total,"Food, beverages and tobacco products",Total,Austria,2022,23918.73,AT
Annual,Million euro,Total,"Textiles, wearing apparel, leather and related products",Total,Austria,2020,1631.42,AT
Annual,Million euro,Total,"Textiles, wearing apparel, leather and related products",Total,Austria,2021,1846.04,AT
Annual,Million euro,Total,"Textiles, wearing apparel, leather and related products",Total,Austria,2022,2215.5,AT
Annual,Million euro,Total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Total,Austria,2020,5723.34,AT
Annual,Million euro,Total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Total,Austria,2021,7595.9,AT
Annual,Million euro,Total,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Total,Austria,2022,8643.51,AT
Annual,Million euro,Total,Paper and paper products,Total,Austria,2020,3871.3,AT
Annual,Million euro,Total,Paper and paper products,Total,Austria,2021,4394.37,AT
Annual,Million euro,Total,Paper and paper products,Total,Austria,2022,5720.12,AT
Annual,Million euro,Total,Printing and recording services,Total,Austria,2020,944.49,AT
Annual,Million euro,Total,Printing and recording services,Total,Austria,2021,939.5,AT
Annual,Million euro,Total,Printing and recording services,Total,Austria,2022,1066.74,AT
Annual,Million euro,Total,Coke and refined petroleum products,Total,Austria,2020,2298.63,AT
Annual,Million euro,Total,Coke and refined petroleum products,Total,Austria,2021,3880.75,AT
Annual,Million euro,Total,Coke and refined petroleum products,Total,Austria,2022,6318.83,AT
Annual,Million euro,Total,Chemicals and chemical products,Total,Austria,2020,9609.4,AT
Annual,Million euro,Total,Chemicals and chemical products,Total,Austria,2021,13107.58,AT
Annual,Million euro,Total,Chemicals and chemical products,Total,Austria,2022,16950.35,AT
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Total,Austria,2020,1882.79,AT
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Total,Austria,2021,2077.19,AT
Annual,Million euro,Total,Basic pharmaceutical products and pharmaceutical preparations,Total,Austria,2022,2830.42,AT
Annual,Million euro,Total,Rubber and plastic products,Total,Austria,2020,3545.24,AT
Annual,Million euro,Total,Rubber and plastic products,Total,Austria,2021,4489.25,AT
Annual,Million euro,Total,Rubber and plastic products,Total,Austria,2022,5241.24,AT
Annual,Million euro,Total,Other non-metallic mineral products,Total,Austria,2020,3587.71,AT
Annual,Million euro,Total,Other non-metallic mineral products,Total,Austria,2021,4349.61,AT
Annual,Million euro,Total,Other non-metallic mineral products,Total,Austria,2022,4944.64,AT
Annual,Million euro,Total,Basic metals,Total,Austria,2020,11522.98,AT
Annual,Million euro,Total,Basic metals,Total,Austria,2021,16216.77,AT
Annual,Million euro,Total,Basic metals,Total,Austria,2022,20771.09,AT
Annual,Million euro,Total,"Fabricated metal products, except machinery and equipment",Total,Austria,2020,8529.67,AT
Annual,Million euro,Total,"Fabricated metal products, except machinery and equipment",Total,Austria,2021,10698.76,AT
Annual,Million euro,Total,"Fabricated metal products, except machinery and equipment",Total,Austria,2022,13218.06,AT
Annual,Million euro,Total,"Computer, electronic and optical products",Total,Austria,2020,4957.48,AT
Annual,Million euro,Total,"Computer, electronic and optical products",Total,Austria,2021,6129.75,AT
Annual,Million euro,Total,"Computer, electronic and optical products",Total,Austria,2022,7577.97,AT
Annual,Million euro,Total,Electrical equipment,Total,Austria,2020,6476.35,AT
Annual,Million euro,Total,Electrical equipment,Total,Austria,2021,7073.41,AT
Annual,Million euro,Total,Electrical equipment,Total,Austria,2022,8454.08,AT
Annual,Million euro,Total,Machinery and equipment n.e.c.,Total,Austria,2020,14554.74,AT
Annual,Million euro,Total,Machinery and equipment n.e.c.,Total,Austria,2021,17149.64,AT
Annual,Million euro,Total,Machinery and equipment n.e.c.,Total,Austria,2022,20432.67,AT
Annual,Million euro,Total,"Motor vehicles, trailers and semi-trailers",Total,Austria,2020,11175.96,AT
Annual,Million euro,Total,"Motor vehicles, trailers and semi-trailers",Total,Austria,2021,12175.48,AT
Annual,Million euro,Total,"Motor vehicles, trailers and semi-trailers",Total,Austria,2022,13000.84,AT
Annual,Million euro,Total,Other transport equipment,Total,Austria,2020,3687.15,AT
Annual,Million euro,Total,Other transport equipment,Total,Austria,2021,4164.42,AT
Annual,Million euro,Total,Other transport equipment,Total,Austria,2022,4938.06,AT
Annual,Million euro,Total,Furniture and other manufactured goods,Total,Austria,2020,4885.69,AT
Annual,Million euro,Total,Furniture and other manufactured goods,Total,Austria,2021,5642.16,AT
Annual,Million euro,Total,Furniture and other manufactured goods,Total,Austria,2022,6512.07,AT
